SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\backend\database.db
User created successfully | user_id=1
SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\backend\database.db
Failed to create user due to integrity error | error=UNIQUE constraint failed: users.email
SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\backend\database.db
User created successfully | user_id=2
Failed to create review due to integrity error | error=NOT NULL constraint failed: reviews.status
SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\backend\database.db
User created successfully | user_id=3
Review created successfully | review_id=1
SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\backend\database.db
User created successfully | user_id=4
Review created successfully | review_id=2
User retrieved successfully | user_id=4
Review retrieved successfully | review_id=2
SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\backend\database.db
User created successfully | user_id=5
Review created successfully | review_id=3
User retrieved successfully | user_id=5
User retrieved successfully | email=testuser4@example.com
Review retrieved successfully | review_id=3
SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\data\app.db
SQLite db schema initialised successfully | path=C:\Users\corma\OneDrive\Desktop\Engineering\Dee website\data\app.db
